Date,BTC_close,BTC_open,BTC_high,BTC_low,BTC_volume,Active_Addr_Cnt,Difficulty,Mean_Block_Size(in_bytes),Sum_Block_Weight,Total_Fees(USD),Mean_Hashrate,Xfer_Cnt,Mean_Tx_size(native_units),ETH,LTC,DOGE,XRP,GOLD,SILVER,COPPER,S&P500,DJI,JP225
2016-04-16,430.0,428.7,432.0,426.8,29.02,407712.0,178678000000.0,667313.7899,368357212.0,14595.268926432243,1225736.265,426426.0,5.621131907,8.54,,,0.00655,1234.6,16.332,4805.5,2080.73,17897.46,16848.03
2016-04-17,426.3,430.0,430.6,423.8,25.59,485493.0,178678000000.0,668426.8101,422445744.0,14922.497778050356,1403379.203,514298.0,3.939038049,9.46,,,0.00663,1234.6,16.332,4805.5,2080.73,17897.46,16848.03
2016-04-18,427.7,426.3,429.1,424.4,32.58,473379.0,178678000000.0,835251.403,447694752.0,20350.3020445034,1190207.678,499886.0,3.955399617,8.97,,,0.00671,1235.0,16.273,4823.0,2094.34,18004.16,16275.95
2016-04-19,434.9,427.7,436.1,426.8,45.68,480187.0,178678000000.0,748778.2933,449266976.0,19102.190297200847,1332322.028,508269.0,4.197509322,8.71,,,0.00704,1254.3,16.995,4943.0,2100.8,18053.6,16874.44
2016-04-20,441.2,434.9,442.9,432.5,74.36,458038.0,178678000000.0,685405.9818,452367948.0,18709.646519153823,1465554.23,472702.0,4.537338624,8.61,,,0.00695,1254.4,17.159,4970.0,2102.4,18096.27,16906.54
2016-04-21,449.3,441.2,450.8,439.5,63.13,481473.0,178678000000.0,744696.543,449796712.0,19537.35634555909,1341204.175,512366.0,5.013763375,8.11,,,0.0073,1250.3,17.116,4994.5,2091.48,17982.52,17363.62
2016-04-22,445.3,449.3,450.2,441.9,49.71,438706.0,178678000000.0,768772.014,439737592.0,18994.384208439616,1270147.0,462255.0,5.050125468,7.97,,,0.00736,1230.0,16.925,5032.0,2091.58,18003.75,17572.49
2016-04-23,450.1,445.3,451.5,443.1,42.36,433938.0,178678000000.0,649066.4167,373862256.0,14979.144706069008,1279029.147,464587.0,4.130182952,8.46,,,0.00736,1230.0,16.925,5032.0,2091.58,18003.75,17572.49
2016-04-24,457.6,450.1,461.8,447.9,74.43,456476.0,178678000000.0,734742.8712,387944236.0,15411.862677269744,1172443.384,482074.0,3.5031274,8.1,,,0.00722,1230.0,16.925,5032.0,2091.58,18003.75,17572.49
2016-04-25,461.7,457.6,466.2,451.8,81.66,496102.0,178678000000.0,877526.2756,445783348.0,20425.16064534417,1128032.65,520348.0,4.409359863,7.54,,,0.00727,1240.2,17.035,4988.0,2087.79,17977.24,17439.3
2016-04-26,466.0,461.7,468.9,459.2,67.56,526580.0,178678000000.0,814451.6424,491928792.0,158588.37085321595,1341204.175,580328.0,4.280442024,7.5,,,0.00693,1243.4,17.135,4964.0,2091.7,17990.32,17353.28
2016-04-27,447.0,466.0,467.9,444.6,90.81,477617.0,178678000000.0,884416.4186,456358872.0,21089.18313371049,1145796.944,525366.0,4.408813088,7.8,,,0.00661,1250.4,17.312,4930.0,2095.15,18041.55,17290.49
